"Table/View Name","Column Name","Column Datatype","Column Null Option","Column Is PK","Column Is FK","Attribute Name","Entity Name"
TB_BTR_DOMESTIC_PURPOSE,RQST_NO,VARCHAR(20),"NOT NULL",Yes,Yes,신청번호,방문목적
TB_BTR_DOMESTIC_PURPOSE,SEQ_NO,NUMBER(2),"NOT NULL",Yes,No,순번,방문목적
TB_BTR_DOMESTIC_PURPOSE,STR_DT,VARCHAR2(8),NULL,No,No,일정시작일자,방문목적
TB_BTR_DOMESTIC_PURPOSE,END_DT,VARCHAR2(8),NULL,No,No,일정종료일자,방문목적
TB_BTR_DOMESTIC_PURPOSE,PURPOSE,VARCHAR2(200),NULL,No,No,방문목적,방문목적
TB_BTR_DOMESTIC_PURPOSE,REG_EMP_NO,VARCHAR2(5),NULL,No,No,등록자,방문목적
TB_BTR_DOMESTIC_PURPOSE,REG_DT,DATE,NULL,No,No,등록일,방문목적
TB_BTR_DOMESTIC_PURPOSE,LAST_CHG_DT,DATE,NULL,No,No,최종수정일자,방문목적
TB_BTR_DOMESTIC_PURPOSE,LAST_CHG_EMP_NO,VARCHAR2(5),NULL,No,No,최종수정자,방문목적
TB_BTR_DOMESTIC_SCDL_MGMT,DT,VARCHAR2(8),"NOT NULL",Yes,No,일자,국내일정관리
TB_BTR_DOMESTIC_SCDL_MGMT,RQST_NO,VARCHAR2(20),"NOT NULL",Yes,Yes,신청번호,국내일정관리
TB_BTR_DOMESTIC_SCDL_MGMT,SEQ_NO,NUMBER(3),"NOT NULL",Yes,No,순번,국내일정관리
TB_BTR_DOMESTIC_SCDL_MGMT,ARR_PLC,VARCHAR2(10),"NOT NULL",No,No,도착지,국내일정관리
TB_BTR_DOMESTIC_SCDL_MGMT,STR_PLC,VARCHAR2(10),"NOT NULL",No,No,출발지,국내일정관리
TB_BTR_DOMESTIC_SCDL_MGMT,TRAFFIC_KIND,VARCHAR2(3),NULL,No,No,교통종류,국내일정관리
TB_BTR_DOMESTIC_SCDL_MGMT,ROUND_YN,VARCHAR2(1),NULL,No,No,왕복여부,국내일정관리
TB_BTR_DOMESTIC_SCDL_MGMT,AMT,NUMBER(10),NULL,No,No,금액,국내일정관리
TB_BTR_DOMESTIC_SCDL_MGMT,VIST_PLC,VARCHAR2(500),NULL,No,No,목적,국내일정관리
TB_BTR_DOMESTIC_SCDL_MGMT,REG_DT,DATE,NULL,No,No,등록일,국내일정관리
TB_BTR_DOMESTIC_SCDL_MGMT,REG_EMP_NO,VARCHAR2(10),NULL,No,No,등록자,국내일정관리
TB_BTR_DOMESTIC_SCDL_MGMT,LAST_CHG_DT,DATE,NULL,No,No,최종수정일자,국내일정관리
TB_BTR_DOMESTIC_SCDL_MGMT,LAST_CHG_EMP_NO,VARCHAR2(10),NULL,No,No,최종수정자,국내일정관리
TB_BTR_DOMESTIC_TRIP_MGMT,RQST_NO,VARCHAR(20),"NOT NULL",Yes,No,신청번호,국내출장관리
TB_BTR_DOMESTIC_TRIP_MGMT,EMP_NO,VARCHAR2(10),"NOT NULL",No,No,개인번호,국내출장관리
TB_BTR_DOMESTIC_TRIP_MGMT,RQST_DT,VARCHAR2(8),NULL,No,No,신청일자,국내출장관리
TB_BTR_DOMESTIC_TRIP_MGMT,TRIP_STR_DT,VARCHAR(8),NULL,No,No,출장시작일,국내출장관리
TB_BTR_DOMESTIC_TRIP_MGMT,TRIP_END_DT,VARCHAR2(8),NULL,No,No,출장종료일,국내출장관리
TB_BTR_DOMESTIC_TRIP_MGMT,TRIP_OBJ,VARCHAR2(100),NULL,No,No,목적,국내출장관리
TB_BTR_DOMESTIC_TRIP_MGMT,BUDG_NO,VARCHAR2(10),NULL,No,No,예산번호,국내출장관리
TB_BTR_DOMESTIC_TRIP_MGMT,EXP_ITEM,VARCHAR2(5),NULL,No,No,비용항목,국내출장관리
TB_BTR_DOMESTIC_TRIP_MGMT,TRAFFIC_AMT,NUMBER(10),NULL,No,No,교통비,국내출장관리
TB_BTR_DOMESTIC_TRIP_MGMT,ACTL_PLC_TRAFFIC_AMT,NUMBER(10),NULL,No,No,현지교통비,국내출장관리
TB_BTR_DOMESTIC_TRIP_MGMT,DLY_PAY,NUMBER(10),NULL,No,No,일당,국내출장관리
